id A,id B,Name Decomposition A,Name Decomposition B,Suffix Phone A,Suffix Phone B,Suffix Website A,Suffix Website B,Matching Score
8885,8885,"{'kitsuné', 'maison'}","{'kitsuné', 'maison'}",nan,nan,kitsune.fr,kitsune.fr,0.8461538461538461
8896,8896,"{'games', 'studios', 'zero'}","{'games', 'studios', 'zero'}",nan,nan,zerogamesstudios.com,zerogamesstudios.com,0.8461538461538461
8900,8900,{'synolia'},{'synolia'},27705370,27705370,synolia.com,synolia.com,1.0
8903,8903,"{'esokia', 'agency', 'web'}","{'esokia', 'agency', 'web'}",52523334,52523334,esokia.com,esokia.com,1.0
8904,8904,{'jalios'},{'jalios'},39239280,39239280,jalios.com,jalios.com,1.0
8911,8911,{'artdesk'},{'artdesk'},58221750,58221750,artdesk.fr,artdesk.fr,1.0
8916,8916,"{'components', 'yelloz'}","{'components', 'yelloz'}",nan,nan,yellozgroup.com,yellozgroup.com,0.8461538461538461
8932,8932,{'spgestion.fr'},{'spgestion.fr'},nan,nan,spgestion.fr,spgestion.fr,0.9166666666666666
8935,8935,{'capgemini'},{'capgemini'},47545000,47545000,capgemini.com,capgemini.com,1.0
8942,353889,{'mon-avocat.fr'},{'mon-avocat.fr'},72739882,nan,mon-avocat.fr,mon-avocat.fr,0.5789473684210527
8971,8971,{'novethic'},{'novethic'},58509814,58509814,novethic.fr,novethic.fr,1.0
8992,51684,"{'ab', 'tasty'}","{'ab', 'tasty'}",nan,nan,abtasty.com,abtasty.com,0.8461538461538461
8998,8998,"{'agence', 'clark'}","{'agence', 'clark'}",nan,nan,agence-clark.com,agence-clark.com,0.8461538461538461
9004,42283,"{'management', 'interim', 'llc'}","{'management', 'interim', 'llc'}",nan,nan,interimmanagement.com,interimmanagement.com,0.8461538461538461
9018,51002,"{'conseil', 'cmg'}","{'conseil', 'cmg'}",40075070,40075070,cmgconseil.com,cmgconseil.com,1.0
9025,35811,{'intercloud'},{'intercloud'},81802600,81802600,intercloud.com,intercloud.com,1.0
9041,9041,"{'ddb', 'score'}","{'ddb', 'score'}",53325992,53325992,scoreddb.fr,scoreddb.fr,1.0
9059,9059,{'flatchr'},{'flatchr'},50449156,50449156,flatchr.io,flatchr.io,1.0
9064,9064,{'alcimed'},{'alcimed'},44304430,44304430,alcimed.com,alcimed.com,1.0
9075,9075,{'primobox'},{'primobox'},57995034,57995034,primobox.com,primobox.com,1.0
9097,9097,{'typy'},{'typy'},nan,nan,typy.fr,typy.fr,0.8461538461538461
9109,17050,{'agile4me'},{'agile4me'},nan,nan,agile4me.com,agile4me.com,0.8461538461538461
9126,9126,"{'/', 'md2i', 'techni-contact'}","{'/', 'md2i', 'techni-contact'}",55602929,55602929,techni-contact.com,techni-contact.com,1.0
9154,9154,"{'dioki', 'technologies'}","{'dioki', 'technologies'}",77627927,77627927,dioki.net,dioki.net,1.0
9170,9170,"{'france', 'amabis'}","{'france', 'amabis'}",45364500,45364500,amabis.com,amabis.com,1.0
9171,64114,{'themiis'},{'themiis'},05058877,05058877,themiis-institute.com,themiis-institute.com,0.8947368421052632
9172,9172,"{'lieues', 'sept'}","{'lieues', 'sept'}",91393939,91393939,sept-lieues.com,sept-lieues.com,1.0
9182,9182,{'opendigitaleducation'},{'opendigitaleducation'},82635151,82635151,opendigitaleducation.com,opendigitaleducation.com,1.0
9184,9184,"{'boss', 'studio', 'big'}","{'boss', 'studio', 'big'}",80805570,80805570,big-boss.com,big-boss.com,1.0
9190,9190,{'fircosoft'},{'fircosoft'},53441300,53441300,fircosoft.com,fircosoft.com,1.0
9193,26284,{'edf'},{'edf'},40422222,40422222,edf.fr,edf.fr,1.0
9198,9198,{'sutunam'},{'sutunam'},82533175,82533175,sutunam.com,sutunam.com,1.0
9205,54644,"{'la', 'foncièrenumérique'}","{'la', 'foncièrenumérique'}",nan,nan,lafoncierenumerique.com,lafoncierenumerique.com,0.8461538461538461
9209,9209,{'365talents'},{'365talents'},nan,nan,365talents.com,365talents.com,0.8461538461538461
9214,9214,"{'group', 'melty'}","{'group', 'melty'}",83620081,83620081,meltygroup.com,meltygroup.com,1.0
9226,9226,{'rmc'},{'rmc'},71191191,71191191,rmc.fr,rmc.fr,1.0
9237,9237,"{'ligue', 'football', 'professionnel', 'de'}","{'ligue', 'football', 'professionnel', 'de'}",nan,nan,lfp.fr,lfp.fr,0.8461538461538461
9238,9238,{'weenect'},{'weenect'},27258020,27258020,weenect.com,weenect.com,1.0
9240,9240,{'ouihelp.fr'},{'ouihelp.fr'},83799758,83799758,ouihelp.fr,ouihelp.fr,1.0
9244,9244,{'albus'},{'albus'},80301051,80301051,albus.fr,albus.fr,1.0
9266,9266,{'sogedev'},{'sogedev'},55958008,55958008,sogedev.com,sogedev.com,1.0
9274,9274,{'upgraduate'},{'upgraduate'},80884069,80884069,upgraduate.com,upgraduate.com,1.0
9291,72523,{'accengage'},{'accengage'},44568716,)2905248,accengage.com,accengage.com,0.5789473684210527
9294,9294,"{'bengs', 'lab'}","{'bengs', 'lab'}",nan,nan,bengs-lab.com,bengs-lab.com,0.8461538461538461
9301,169369,{'dorlet'},{'dorlet'},nan,64344563,dorlet.fr,dorlet.fr,0.5789473684210527
9311,78970,"{'leaders', 'league'}","{'leaders', 'league'}",43929394,43929394,leadersleague.com,leadersleague.com,1.0
9318,9318,{'kalray'},{'kalray'},)4693729,)4693729,kalrayinc.com,kalrayinc.com,1.0
9319,63178,{'semantiweb'},{'semantiweb'},nan,nan,semantiweb.fr,semantiweb.fr,0.8461538461538461
9322,9322,"{'urban', 'linker'}","{'urban', 'linker'}",77372390,77372390,urbanlinker.com,urbanlinker.com,1.0
9323,9323,"{'net', 'reviews'}","{'net', 'reviews'}",13258170,13258170,avis-verifies.com,avis-verifies.com,1.0
9336,54543,{'armis'},{'armis'},nan,nan,armis.tech,armis.tech,0.8461538461538461
9349,9349,{'spinergie'},{'spinergie'},nan,nan,spinergie.com,spinergie.com,0.9166666666666666
